,protein,layer,value
25909,DBH,IVa,
25910,NET,IVa,
25911,DBH,IVb,
25912,NET,IVb,
25913,DBH,IVc,
25914,NET,IVc,
25915,DBH,IVc,
25916,NET,IVc,
25917,DBH,V,
25918,NET,V,
25919,DBH,VI,
25920,NET,VI,
25921,DBH,I,
25922,NET,I,
25923,DBH,II,
25924,NET,II,
25925,DBH,III,
25926,NET,III,
25927,DBH,IVa,
25928,NET,IVa,
25929,DBH,IVb,
25930,NET,IVb,
25931,DBH,IVc,
25932,NET,IVc,
25933,DBH,IVc,
25934,NET,IVc,
25935,DBH,V,
25936,NET,V,
25937,DBH,VI,
25938,NET,VI,
25939,DBH,I,
25940,NET,I,
25941,DBH,II,
25942,NET,II,
25943,DBH,III,
25944,NET,III,
25945,DBH,IVa,
25946,NET,IVa,
25947,DBH,IVb,
25948,NET,IVb,
25949,DBH,IVc,
25950,NET,IVc,
25951,DBH,IVc,
25952,NET,IVc,
25953,DBH,V,
25954,NET,V,
25955,DBH,VI,
25956,NET,VI,
25957,DBH,I,
25958,NET,I,
25959,DBH,II,
25960,NET,II,
25961,DBH,III,
25962,NET,III,
25963,DBH,IVa,
25964,NET,IVa,
25965,DBH,IVb,
25966,NET,IVb,
25967,DBH,IVc,
25968,NET,IVc,
25969,DBH,IVc,
25970,NET,IVc,
25971,DBH,V,
25972,NET,V,
25973,DBH,VI,
25974,NET,VI,
25975,DBH,I,
25976,NET,I,
25977,DBH,II,
25978,NET,II,
25979,DBH,III,
25980,NET,III,
25981,DBH,IVa,
25982,NET,IVa,
25983,DBH,IVb,
25984,NET,IVb,
25985,DBH,IVc,
25986,NET,IVc,
25987,DBH,IVc,
25988,NET,IVc,
25989,DBH,V,
25990,NET,V,
25991,DBH,VI,
25992,NET,VI,
25993,DBH,I,
25994,NET,I,
25995,DBH,II,
25996,NET,II,
25997,DBH,III,
25998,NET,III,
25999,DBH,IVa,
26000,NET,IVa,
26001,DBH,IVb,
26002,NET,IVb,
26003,DBH,IVc,
26004,NET,IVc,
26005,DBH,IVc,
26006,NET,IVc,
26007,DBH,V,
26008,NET,V,
26009,DBH,VI,
26010,NET,VI,
26011,DBH,I,
26012,NET,I,
26013,DBH,II,
26014,NET,II,
26015,DBH,III,
26016,NET,III,
26017,DBH,IVa,
26018,NET,IVa,
26019,DBH,IVb,
26020,NET,IVb,
26021,DBH,IVc,
26022,NET,IVc,
26023,DBH,IVc,
26024,NET,IVc,
26025,DBH,V,
26026,NET,V,
26027,DBH,VI,
26028,NET,VI,
26029,DBH,I,
26030,NET,I,
26031,DBH,II,
26032,NET,II,
26033,DBH,III,
26034,NET,III,
26035,DBH,IVa,
26036,NET,IVa,
26037,DBH,IVb,
26038,NET,IVb,
26039,DBH,IVc,
26040,NET,IVc,
26041,DBH,IVc,
26042,NET,IVc,
26043,DBH,V,
26044,NET,V,
26045,DBH,VI,
26046,NET,VI,
26047,DBH,I,
26048,NET,I,
26049,DBH,II,
26050,NET,II,
26051,DBH,III,
26052,NET,III,
26053,DBH,IVa,
26054,NET,IVa,
26055,DBH,IVb,
26056,NET,IVb,
26057,DBH,IVc,
26058,NET,IVc,
26059,DBH,IVc,
26060,NET,IVc,
26061,DBH,V,
26062,NET,V,
26063,DBH,VI,
26064,NET,VI,
26065,DBH,I,
26066,NET,I,
26067,DBH,II,
26068,NET,II,
26069,DBH,III,
26070,NET,III,
26071,DBH,IVa,
26072,NET,IVa,
26073,DBH,IVb,
26074,NET,IVb,
26075,DBH,IVc,
26076,NET,IVc,
26077,DBH,IVc,
26078,NET,IVc,
26079,DBH,V,
26080,NET,V,
26081,DBH,VI,
26082,NET,VI,
26083,DBH,I,
26084,NET,I,
26085,DBH,II,
26086,NET,II,
26087,DBH,III,
26088,NET,III,
26089,DBH,IVa,
26090,NET,IVa,
26091,DBH,IVb,
26092,NET,IVb,
26093,DBH,IVc,
26094,NET,IVc,
26095,DBH,IVc,
26096,NET,IVc,
26097,DBH,V,
26098,NET,V,
26099,DBH,VI,
26100,NET,VI,
26101,DBH,I,
26102,NET,I,
26103,DBH,II,
26104,NET,II,
26105,DBH,III,
26106,NET,III,
26107,DBH,IVa,
26108,NET,IVa,
26109,DBH,IVb,
26110,NET,IVb,
26111,DBH,IVc,
26112,NET,IVc,
26113,DBH,IVc,
26114,NET,IVc,
26115,DBH,V,
26116,NET,V,
26117,DBH,VI,
26118,NET,VI,
26119,DBH,I,
26120,NET,I,
26121,DBH,II,
26122,NET,II,
26123,DBH,III,
26124,NET,III,
26125,DBH,IVa,
26126,NET,IVa,
26127,DBH,IVb,
26128,NET,IVb,
26129,DBH,IVc,
26130,NET,IVc,
26131,DBH,IVc,
26132,NET,IVc,
26133,DBH,V,
26134,NET,V,
26135,DBH,VI,
26136,NET,VI,
26137,DBH,I,
26138,NET,I,
26139,DBH,II,
26140,NET,II,
26141,DBH,III,
26142,NET,III,
26143,DBH,IVa,
26144,NET,IVa,
26145,DBH,IVb,
26146,NET,IVb,
26147,DBH,IVc,
26148,NET,IVc,
26149,DBH,IVc,
26150,NET,IVc,
26151,DBH,V,
26152,NET,V,
26153,DBH,VI,
26154,NET,VI,
26155,DBH,I,
26156,NET,I,
26157,DBH,II,
26158,NET,II,
26159,DBH,III,
26160,NET,III,
26161,DBH,IVa,
26162,NET,IVa,
26163,DBH,IVb,
26164,NET,IVb,
26165,DBH,IVc,
26166,NET,IVc,
26167,DBH,IVc,
26168,NET,IVc,
26169,DBH,V,
26170,NET,V,
26171,DBH,VI,
26172,NET,VI,
26173,DBH,I,
26174,NET,I,
26175,DBH,II,
26176,NET,II,
26177,DBH,III,
26178,NET,III,
26179,DBH,IVa,
26180,NET,IVa,
26181,DBH,IVb,
26182,NET,IVb,
26183,DBH,IVc,
26184,NET,IVc,
26185,DBH,IVc,
26186,NET,IVc,
26187,DBH,V,
26188,NET,V,
26189,DBH,VI,
26190,NET,VI,
26191,DBH,I,
26192,NET,I,
26193,DBH,II,
26194,NET,II,
26195,DBH,III,
26196,NET,III,
26197,DBH,IVa,
26198,NET,IVa,
26199,DBH,IVb,
26200,NET,IVb,
26201,DBH,IVc,
26202,NET,IVc,
26203,DBH,IVc,
26204,NET,IVc,
26205,DBH,V,
26206,NET,V,
26207,DBH,VI,
26208,NET,VI,
26209,DBH,I,
26210,NET,I,
26211,DBH,II,
26212,NET,II,
26213,DBH,III,
26214,NET,III,
26215,DBH,IVa,
26216,NET,IVa,
26217,DBH,IVb,
26218,NET,IVb,
26219,DBH,IVc,
26220,NET,IVc,
26221,DBH,IVc,
26222,NET,IVc,
26223,DBH,V,
26224,NET,V,
26225,DBH,VI,
26226,NET,VI,
26227,DBH,I,
26228,NET,I,
26229,DBH,II,
26230,NET,II,
26231,DBH,III,
26232,NET,III,
26233,DBH,IVa,
26234,NET,IVa,
26235,DBH,IVb,
26236,NET,IVb,
26237,DBH,IVc,
26238,NET,IVc,
26239,DBH,IVc,
26240,NET,IVc,
26241,DBH,V,
26242,NET,V,
26243,DBH,VI,
26244,NET,VI,
26245,DBH,I,
26246,NET,I,
26247,DBH,II,
26248,NET,II,
26249,DBH,III,
26250,NET,III,
26251,DBH,IVa,
26252,NET,IVa,
26253,DBH,IVb,
26254,NET,IVb,
26255,DBH,IVc,
26256,NET,IVc,
26257,DBH,IVc,
26258,NET,IVc,
26259,DBH,V,
26260,NET,V,
26261,DBH,VI,
26262,NET,VI,
26263,DBH,I,
26264,NET,I,
26265,DBH,II,
26266,NET,II,
26267,DBH,III,
26268,NET,III,
26269,DBH,IVa,
26270,NET,IVa,
26271,DBH,IVb,
26272,NET,IVb,
26273,DBH,IVc,
26274,NET,IVc,
26275,DBH,IVc,
26276,NET,IVc,
26277,DBH,V,
26278,NET,V,
26279,DBH,VI,
26280,NET,VI,
26281,DBH,I,
26282,NET,I,
26283,DBH,II,
26284,NET,II,
26285,DBH,III,
26286,NET,III,
26287,DBH,IVa,
26288,NET,IVa,
26289,DBH,IVb,
26290,NET,IVb,
26291,DBH,IVc,
26292,NET,IVc,
26293,DBH,IVc,
26294,NET,IVc,
26295,DBH,V,
26296,NET,V,
26297,DBH,VI,
26298,NET,VI,
26299,DBH,I,
26300,NET,I,
26301,DBH,II,
26302,NET,II,
26303,DBH,III,
26304,NET,III,
26305,DBH,IVa,
26306,NET,IVa,
26307,DBH,IVb,
26308,NET,IVb,
26309,DBH,IVc,
26310,NET,IVc,
26311,DBH,IVc,
26312,NET,IVc,
26313,DBH,V,
26314,NET,V,
26315,DBH,VI,
26316,NET,VI,
26317,DBH,I,
26318,NET,I,
26319,DBH,II,
26320,NET,II,
26321,DBH,III,
26322,NET,III,
26323,DBH,IVa,
26324,NET,IVa,
26325,DBH,IVb,
26326,NET,IVb,
26327,DBH,IVc,
26328,NET,IVc,
26329,DBH,IVc,
26330,NET,IVc,
26331,DBH,V,
26332,NET,V,
26333,DBH,VI,
26334,NET,VI,
26335,DBH,I,
26336,NET,I,
26337,DBH,II,
26338,NET,II,
26339,DBH,III,
26340,NET,III,
26341,DBH,IVa,
26342,NET,IVa,
26343,DBH,IVb,
26344,NET,IVb,
26345,DBH,IVc,
26346,NET,IVc,
26347,DBH,IVc,
26348,NET,IVc,
26349,DBH,V,
26350,NET,V,
26351,DBH,VI,
26352,NET,VI,
26353,DBH,I,
26354,NET,I,
26355,DBH,II,
26356,NET,II,
26357,DBH,III,
26358,NET,III,
26359,DBH,IVa,
26360,NET,IVa,
26361,DBH,IVb,
26362,NET,IVb,
26363,DBH,IVc,
26364,NET,IVc,
26365,DBH,IVc,
26366,NET,IVc,
26367,DBH,V,
26368,NET,V,
26369,DBH,VI,
26370,NET,VI,
26371,DBH,I,
26372,NET,I,
26373,DBH,II,
26374,NET,II,
26375,DBH,III,
26376,NET,III,
26377,DBH,IVa,
26378,NET,IVa,
26379,DBH,IVb,
26380,NET,IVb,
26381,DBH,IVc,
26382,NET,IVc,
26383,DBH,IVc,
26384,NET,IVc,
26385,DBH,V,
26386,NET,V,
26387,DBH,VI,
26388,NET,VI,
26389,DBH,I,
26390,NET,I,
26391,DBH,II,
26392,NET,II,
26393,DBH,III,
26394,NET,III,
26395,DBH,IVa,
26396,NET,IVa,
26397,DBH,IVb,
26398,NET,IVb,
26399,DBH,IVc,
26400,NET,IVc,
26401,DBH,IVc,
26402,NET,IVc,
26403,DBH,V,
26404,NET,V,
26405,DBH,VI,
26406,NET,VI,
26407,DBH,I,
26408,NET,I,
26409,DBH,II,
26410,NET,II,
26411,DBH,III,
26412,NET,III,
26413,DBH,IVa,
26414,NET,IVa,
26415,DBH,IVb,
26416,NET,IVb,
26417,DBH,IVc,
26418,NET,IVc,
26419,DBH,IVc,
26420,NET,IVc,
26421,DBH,V,
26422,NET,V,
26423,DBH,VI,
26424,NET,VI,
26425,DBH,I,
26426,NET,I,
26427,DBH,II,
26428,NET,II,
26429,DBH,III,
26430,NET,III,
26431,DBH,IVa,
26432,NET,IVa,
26433,DBH,IVb,
26434,NET,IVb,
26435,DBH,IVc,
26436,NET,IVc,
26437,DBH,IVc,
26438,NET,IVc,
26439,DBH,V,
26440,NET,V,
26441,DBH,VI,
26442,NET,VI,
26443,DBH,I,
26444,NET,I,
26445,DBH,II,
26446,NET,II,
26447,DBH,III,
26448,NET,III,
26449,DBH,IVa,
26450,NET,IVa,
26451,DBH,IVb,
26452,NET,IVb,
26453,DBH,IVc,
26454,NET,IVc,
26455,DBH,IVc,
26456,NET,IVc,
26457,DBH,V,
26458,NET,V,
26459,DBH,VI,
26460,NET,VI,
26461,DBH,I,
26462,NET,I,
26463,DBH,II,
26464,NET,II,
26465,DBH,III,
26466,NET,III,
26467,DBH,IVa,
26468,NET,IVa,
26469,DBH,IVb,
26470,NET,IVb,
26471,DBH,IVc,
26472,NET,IVc,
26473,DBH,IVc,
26474,NET,IVc,
26475,DBH,V,
26476,NET,V,
26477,DBH,VI,
26478,NET,VI,
26479,DBH,I,
26480,NET,I,
26481,DBH,II,
26482,NET,II,
26483,DBH,III,
26484,NET,III,
26485,DBH,IVa,
26486,NET,IVa,
26487,DBH,IVb,
26488,NET,IVb,
26489,DBH,IVc,
26490,NET,IVc,
26491,DBH,IVc,
26492,NET,IVc,
26493,DBH,V,
26494,NET,V,
26495,DBH,VI,
26496,NET,VI,
26497,DBH,I,
26498,NET,I,
26499,DBH,II,
26500,NET,II,
26501,DBH,III,
26502,NET,III,
26503,DBH,IVa,
26504,NET,IVa,
26505,DBH,IVb,
26506,NET,IVb,
26507,DBH,IVc,
26508,NET,IVc,
26509,DBH,IVc,
26510,NET,IVc,
26511,DBH,V,
26512,NET,V,
26513,DBH,VI,
26514,NET,VI,
26515,DBH,I,
26516,NET,I,
26517,DBH,II,
26518,NET,II,
26519,DBH,III,
26520,NET,III,
26521,DBH,IVa,
26522,NET,IVa,
26523,DBH,IVb,
26524,NET,IVb,
26525,DBH,IVc,
26526,NET,IVc,
26527,DBH,IVc,
26528,NET,IVc,
26529,DBH,V,
26530,NET,V,
26531,DBH,VI,
26532,NET,VI,
26533,DBH,I,
26534,NET,I,
26535,DBH,II,
26536,NET,II,
26537,DBH,III,
26538,NET,III,
26539,DBH,IVa,
26540,NET,IVa,
26541,DBH,IVb,
26542,NET,IVb,
26543,DBH,IVc,
26544,NET,IVc,
26545,DBH,IVc,
26546,NET,IVc,
26547,DBH,V,
26548,NET,V,
26549,DBH,VI,
26550,NET,VI,
26551,DBH,I,
26552,NET,I,
26553,DBH,II,
26554,NET,II,
26555,DBH,III,
26556,NET,III,
26557,DBH,IVa,
26558,NET,IVa,
26559,DBH,IVb,
26560,NET,IVb,
26561,DBH,IVc,
26562,NET,IVc,
26563,DBH,IVc,
26564,NET,IVc,
26565,DBH,V,
26566,NET,V,
26567,DBH,VI,
26568,NET,VI,
26569,DBH,I,
26570,NET,I,
26571,DBH,II,
26572,NET,II,
26573,DBH,III,
26574,NET,III,
26575,DBH,IVa,
26576,NET,IVa,
26577,DBH,IVb,
26578,NET,IVb,
26579,DBH,IVc,
26580,NET,IVc,
26581,DBH,IVc,
26582,NET,IVc,
26583,DBH,V,
26584,NET,V,
26585,DBH,VI,
26586,NET,VI,
26587,DBH,I,
26588,NET,I,
26589,DBH,II,
26590,NET,II,
26591,DBH,III,
26592,NET,III,
26593,DBH,IVa,
26594,NET,IVa,
26595,DBH,IVb,
26596,NET,IVb,
26597,DBH,IVc,
26598,NET,IVc,
26599,DBH,IVc,
26600,NET,IVc,
26601,DBH,V,
26602,NET,V,
26603,DBH,VI,
26604,NET,VI,
26605,DBH,I,
26606,NET,I,
26607,DBH,II,
26608,NET,II,
26609,DBH,III,
26610,NET,III,
26611,DBH,IVa,
26612,NET,IVa,
26613,DBH,IVb,
26614,NET,IVb,
26615,DBH,IVc,
26616,NET,IVc,
26617,DBH,IVc,
26618,NET,IVc,
26619,DBH,V,
26620,NET,V,
26621,DBH,VI,
26622,NET,VI,
26623,DBH,I,
26624,NET,I,
26625,DBH,II,
26626,NET,II,
26627,DBH,III,
26628,NET,III,
26629,DBH,IVa,
26630,NET,IVa,
26631,DBH,IVb,
26632,NET,IVb,
26633,DBH,IVc,
26634,NET,IVc,
26635,DBH,IVc,
26636,NET,IVc,
26637,DBH,V,
26638,NET,V,
26639,DBH,VI,
26640,NET,VI,
26641,DBH,I,
26642,NET,I,
26643,DBH,II,
26644,NET,II,
26645,DBH,III,
26646,NET,III,
26647,DBH,IVa,
26648,NET,IVa,
26649,DBH,IVb,
26650,NET,IVb,
26651,DBH,IVc,
26652,NET,IVc,
26653,DBH,IVc,
26654,NET,IVc,
26655,DBH,V,
26656,NET,V,
26657,DBH,VI,
26658,NET,VI,
26659,DBH,I,
26660,NET,I,
26661,DBH,II,
26662,NET,II,
26663,DBH,III,
26664,NET,III,
26665,DBH,IVa,
26666,NET,IVa,
26667,DBH,IVb,
26668,NET,IVb,
26669,DBH,IVc,
26670,NET,IVc,
26671,DBH,IVc,
26672,NET,IVc,
26673,DBH,V,
26674,NET,V,
26675,DBH,VI,
26676,NET,VI,
26677,DBH,I,
26678,NET,I,
26679,DBH,II,
26680,NET,II,
26681,DBH,III,
26682,NET,III,
26683,DBH,IVa,
26684,NET,IVa,
26685,DBH,IVb,
26686,NET,IVb,
26687,DBH,IVc,
26688,NET,IVc,
26689,DBH,IVc,
26690,NET,IVc,
26691,DBH,V,
26692,NET,V,
26693,DBH,VI,
26694,NET,VI,
26695,DBH,I,
26696,NET,I,
26697,DBH,II,
26698,NET,II,
26699,DBH,III,
26700,NET,III,
26701,DBH,IVa,
26702,NET,IVa,
26703,DBH,IVb,
26704,NET,IVb,
26705,DBH,IVc,
26706,NET,IVc,
26707,DBH,IVc,
26708,NET,IVc,
26709,DBH,V,
26710,NET,V,
26711,DBH,VI,
26712,NET,VI,
26713,DBH,I,
26714,NET,I,
26715,DBH,II,
26716,NET,II,
26717,DBH,III,
26718,NET,III,
26719,DBH,IVa,
26720,NET,IVa,
26721,DBH,IVb,
26722,NET,IVb,
26723,DBH,IVc,
26724,NET,IVc,
26725,DBH,IVc,
26726,NET,IVc,
26727,DBH,V,
26728,NET,V,
26729,DBH,VI,
26730,NET,VI,
26731,DBH,I,
26732,NET,I,
26733,DBH,II,
26734,NET,II,
26735,DBH,III,
26736,NET,III,
26737,DBH,IVa,
26738,NET,IVa,
26739,DBH,IVb,
26740,NET,IVb,
26741,DBH,IVc,
26742,NET,IVc,
26743,DBH,IVc,
26744,NET,IVc,
26745,DBH,V,
26746,NET,V,
26747,DBH,VI,
26748,NET,VI,
26749,DBH,I,
26750,NET,I,
26751,DBH,II,
26752,NET,II,
26753,DBH,III,
26754,NET,III,
26755,DBH,IVa,
26756,NET,IVa,
26757,DBH,IVb,
26758,NET,IVb,
26759,DBH,IVc,
26760,NET,IVc,
26761,DBH,IVc,
26762,NET,IVc,
26763,DBH,V,
26764,NET,V,
26765,DBH,VI,
26766,NET,VI,
26767,DBH,I,
26768,NET,I,
26769,DBH,II,
26770,NET,II,
26771,DBH,III,
26772,NET,III,
26773,DBH,IVa,
26774,NET,IVa,
26775,DBH,IVb,
26776,NET,IVb,
26777,DBH,IVc,
26778,NET,IVc,
26779,DBH,IVc,
26780,NET,IVc,
26781,DBH,V,
26782,NET,V,
26783,DBH,VI,
26784,NET,VI,
26785,DBH,I,
26786,NET,I,
26787,DBH,II,
26788,NET,II,
26789,DBH,III,
26790,NET,III,
26791,DBH,IVa,
26792,NET,IVa,
26793,DBH,IVb,
26794,NET,IVb,
26795,DBH,IVc,
26796,NET,IVc,
26797,DBH,IVc,
26798,NET,IVc,
26799,DBH,V,
26800,NET,V,
26801,DBH,VI,
26802,NET,VI,
26803,DBH,I,
26804,NET,I,
26805,DBH,II,
26806,NET,II,
26807,DBH,III,
26808,NET,III,
26809,DBH,IVa,
26810,NET,IVa,
26811,DBH,IVb,
26812,NET,IVb,
26813,DBH,IVc,
26814,NET,IVc,
26815,DBH,IVc,
26816,NET,IVc,
26817,DBH,V,
26818,NET,V,
26819,DBH,VI,
26820,NET,VI,
26821,DBH,I,
26822,NET,I,
26823,DBH,II,
26824,NET,II,
26825,DBH,III,
26826,NET,III,
26827,DBH,IVa,
26828,NET,IVa,
26829,DBH,IVb,
26830,NET,IVb,
26831,DBH,IVc,
26832,NET,IVc,
26833,DBH,IVc,
26834,NET,IVc,
26835,DBH,V,
26836,NET,V,
26837,DBH,VI,
26838,NET,VI,
26839,DBH,I,
26840,NET,I,
26841,DBH,II,
26842,NET,II,
26843,DBH,III,
26844,NET,III,
26845,DBH,IVa,
26846,NET,IVa,
26847,DBH,IVb,
26848,NET,IVb,
26849,DBH,IVc,
26850,NET,IVc,
26851,DBH,IVc,
26852,NET,IVc,
26853,DBH,V,
26854,NET,V,
26855,DBH,VI,
26856,NET,VI,
26857,DBH,I,
26858,NET,I,
26859,DBH,II,
26860,NET,II,
26861,DBH,III,
26862,NET,III,
26863,DBH,IVa,
26864,NET,IVa,
26865,DBH,IVb,
26866,NET,IVb,
26867,DBH,IVc,
26868,NET,IVc,
26869,DBH,IVc,
26870,NET,IVc,
26871,DBH,V,
26872,NET,V,
26873,DBH,VI,
26874,NET,VI,
26875,DBH,I,
26876,NET,I,
26877,DBH,II,
26878,NET,II,
26879,DBH,III,
26880,NET,III,
26881,DBH,IVa,
26882,NET,IVa,
26883,DBH,IVb,
26884,NET,IVb,
26885,DBH,IVc,
26886,NET,IVc,
26887,DBH,IVc,
26888,NET,IVc,
26889,DBH,V,
26890,NET,V,
26891,DBH,VI,
26892,NET,VI,
26893,DBH,I,
26894,NET,I,
26895,DBH,II,
26896,NET,II,
26897,DBH,III,
26898,NET,III,
26899,DBH,IVa,
26900,NET,IVa,
26901,DBH,IVb,
26902,NET,IVb,
26903,DBH,IVc,
26904,NET,IVc,
26905,DBH,IVc,
26906,NET,IVc,
26907,DBH,V,
26908,NET,V,
26909,DBH,VI,
26910,NET,VI,
26911,DBH,I,
26912,NET,I,
26913,DBH,II,
26914,NET,II,
26915,DBH,III,
26916,NET,III,
26917,DBH,IVa,
26918,NET,IVa,
26919,DBH,IVb,
26920,NET,IVb,
26921,DBH,IVc,
26922,NET,IVc,
26923,DBH,IVc,
26924,NET,IVc,
26925,DBH,V,
26926,NET,V,
26927,DBH,VI,
26928,NET,VI,
26929,DBH,I,
26930,NET,I,
26931,DBH,II,
26932,NET,II,
26933,DBH,III,
26934,NET,III,
26935,DBH,IVa,
26936,NET,IVa,
26937,DBH,IVb,
26938,NET,IVb,
26939,DBH,IVc,
26940,NET,IVc,
26941,DBH,IVc,
26942,NET,IVc,
26943,DBH,V,
26944,NET,V,
26945,DBH,VI,
26946,NET,VI,
26947,DBH,I,
26948,NET,I,
26949,DBH,II,
26950,NET,II,
26951,DBH,III,
26952,NET,III,
26953,DBH,IVa,
26954,NET,IVa,
26955,DBH,IVb,
26956,NET,IVb,
26957,DBH,IVc,
26958,NET,IVc,
26959,DBH,IVc,
26960,NET,IVc,
26961,DBH,V,
26962,NET,V,
26963,DBH,VI,
26964,NET,VI,
26965,DBH,I,
26966,NET,I,
26967,DBH,II,
26968,NET,II,
26969,DBH,III,
26970,NET,III,
26971,DBH,IVa,
26972,NET,IVa,
26973,DBH,IVb,
26974,NET,IVb,
26975,DBH,IVc,
26976,NET,IVc,
26977,DBH,IVc,
26978,NET,IVc,
26979,DBH,V,
26980,NET,V,
26981,DBH,VI,
26982,NET,VI,
26983,DBH,I,
26984,NET,I,
26985,DBH,II,
26986,NET,II,
26987,DBH,III,
26988,NET,III,
26989,DBH,IVa,
26990,NET,IVa,
26991,DBH,IVb,
26992,NET,IVb,
26993,DBH,IVc,
26994,NET,IVc,
26995,DBH,IVc,
26996,NET,IVc,
26997,DBH,V,
26998,NET,V,
26999,DBH,VI,
27000,NET,VI,
27001,DBH,I,
27002,NET,I,
27003,DBH,II,
27004,NET,II,
27005,DBH,III,
27006,NET,III,
27007,DBH,IVa,
27008,NET,IVa,
27009,DBH,IVb,
27010,NET,IVb,
27011,DBH,IVc,
27012,NET,IVc,
27013,DBH,IVc,
27014,NET,IVc,
27015,DBH,V,
27016,NET,V,
27017,DBH,VI,
27018,NET,VI,
27019,DBH,I,
27020,NET,I,
27021,DBH,II,
27022,NET,II,
27023,DBH,III,
27024,NET,III,
27025,DBH,IVa,
27026,NET,IVa,
27027,DBH,IVb,
27028,NET,IVb,
27029,DBH,IVc,
27030,NET,IVc,
27031,DBH,IVc,
27032,NET,IVc,
27033,DBH,V,
27034,NET,V,
27035,DBH,VI,
27036,NET,VI,
27037,DBH,I,
27038,NET,I,
27039,DBH,II,
27040,NET,II,
27041,DBH,III,
27042,NET,III,
27043,DBH,IVa,
27044,NET,IVa,
27045,DBH,IVb,
27046,NET,IVb,
27047,DBH,IVc,
27048,NET,IVc,
27049,DBH,IVc,
27050,NET,IVc,
27051,DBH,V,
27052,NET,V,
27053,DBH,VI,
27054,NET,VI,
27055,DBH,I,
27056,NET,I,
27057,DBH,II,
27058,NET,II,
27059,DBH,III,
27060,NET,III,
27061,DBH,IVa,
27062,NET,IVa,
27063,DBH,IVb,
27064,NET,IVb,
27065,DBH,IVc,
27066,NET,IVc,
27067,DBH,IVc,
27068,NET,IVc,
27069,DBH,V,
27070,NET,V,
27071,DBH,VI,
27072,NET,VI,
27073,DBH,I,
27074,NET,I,
27075,DBH,II,
27076,NET,II,
27077,DBH,III,
27078,NET,III,
27079,DBH,IVa,
27080,NET,IVa,
27081,DBH,IVb,
27082,NET,IVb,
27083,DBH,IVc,
27084,NET,IVc,
27085,DBH,IVc,
27086,NET,IVc,
27087,DBH,V,
27088,NET,V,
27089,DBH,VI,
27090,NET,VI,
27091,DBH,I,
27092,NET,I,
27093,DBH,II,
27094,NET,II,
27095,DBH,III,
27096,NET,III,
27097,DBH,IVa,
27098,NET,IVa,
27099,DBH,IVb,
27100,NET,IVb,
27101,DBH,IVc,
27102,NET,IVc,
27103,DBH,IVc,
27104,NET,IVc,
27105,DBH,V,
27106,NET,V,
27107,DBH,VI,
27108,NET,VI,
27109,DBH,I,
27110,NET,I,
27111,DBH,II,
27112,NET,II,
27113,DBH,III,
27114,NET,III,
27115,DBH,IVa,
27116,NET,IVa,
27117,DBH,IVb,
27118,NET,IVb,
27119,DBH,IVc,
27120,NET,IVc,
27121,DBH,IVc,
27122,NET,IVc,
27123,DBH,V,
27124,NET,V,
27125,DBH,VI,
27126,NET,VI,
27127,DBH,I,
27128,NET,I,
27129,DBH,II,
27130,NET,II,
27131,DBH,III,
27132,NET,III,
27133,DBH,IVa,
27134,NET,IVa,
27135,DBH,IVb,
27136,NET,IVb,
27137,DBH,IVc,
27138,NET,IVc,
27139,DBH,IVc,
27140,NET,IVc,
27141,DBH,V,
27142,NET,V,
27143,DBH,VI,
27144,NET,VI,
27145,DBH,I,
27146,NET,I,
27147,DBH,II,
27148,NET,II,
27149,DBH,III,
27150,NET,III,
27151,DBH,IVa,
27152,NET,IVa,
27153,DBH,IVb,
27154,NET,IVb,
27155,DBH,IVc,
27156,NET,IVc,
27157,DBH,IVc,
27158,NET,IVc,
27159,DBH,V,
27160,NET,V,
27161,DBH,VI,
27162,NET,VI,
27163,DBH,I,
27164,NET,I,
27165,DBH,II,
27166,NET,II,
27167,DBH,III,
27168,NET,III,
27169,DBH,IVa,
27170,NET,IVa,
27171,DBH,IVb,
27172,NET,IVb,
27173,DBH,IVc,
27174,NET,IVc,
27175,DBH,IVc,
27176,NET,IVc,
27177,DBH,V,
27178,NET,V,
27179,DBH,VI,
27180,NET,VI,
27181,DBH,I,
27182,NET,I,
27183,DBH,II,
27184,NET,II,
27185,DBH,III,
27186,NET,III,
27187,DBH,IVa,
27188,NET,IVa,
27189,DBH,IVb,
27190,NET,IVb,
27191,DBH,IVc,
27192,NET,IVc,
27193,DBH,IVc,
27194,NET,IVc,
27195,DBH,V,
27196,NET,V,
27197,DBH,VI,
27198,NET,VI,
27199,DBH,I,
27200,NET,I,
27201,DBH,II,
27202,NET,II,
27203,DBH,III,
27204,NET,III,
27205,DBH,IVa,
27206,NET,IVa,
27207,DBH,IVb,
27208,NET,IVb,
27209,DBH,IVc,
27210,NET,IVc,
27211,DBH,IVc,
27212,NET,IVc,
27213,DBH,V,
27214,NET,V,
27215,DBH,VI,
27216,NET,VI,
27217,DBH,I,
27218,NET,I,
27219,DBH,II,
27220,NET,II,
27221,DBH,III,
27222,NET,III,
27223,DBH,IVa,
27224,NET,IVa,
27225,DBH,IVb,
27226,NET,IVb,
27227,DBH,IVc,
27228,NET,IVc,
27229,DBH,IVc,
27230,NET,IVc,
27231,DBH,V,
27232,NET,V,
27233,DBH,VI,
27234,NET,VI,
27235,DBH,I,
27236,NET,I,
27237,DBH,II,
27238,NET,II,
27239,DBH,III,
27240,NET,III,
