,area,protein,layer,value
21168,V2,NET,VI,
21169,V1,NET,I,
21170,V2,NET,I,
21171,V1,NET,II,
21172,V2,NET,II,
21173,V1,NET,III,
21174,V2,NET,III,
21175,V1,NET,IV,
21176,V2,NET,IV,
21177,V1,NET,V,
21178,V2,NET,V,
21179,V1,NET,VI,
21180,V2,NET,VI,
21181,V1,NET,I,
21182,V2,NET,I,
21183,V1,NET,II,
21184,V2,NET,II,
21185,V1,NET,III,
21186,V2,NET,III,
21187,V1,NET,IV,
21188,V2,NET,IV,
21189,V1,NET,V,
21190,V2,NET,V,
21191,V1,NET,VI,
21192,V2,NET,VI,
21193,V1,NET,I,
21194,V2,NET,I,
21195,V1,NET,II,
21196,V2,NET,II,
21197,V1,NET,III,
21198,V2,NET,III,
21199,V1,NET,IV,
21200,V2,NET,IV,
21201,V1,NET,V,
21202,V2,NET,V,
21203,V1,NET,VI,
21204,V2,NET,VI,
21205,V1,NET,I,
21206,V2,NET,I,
21207,V1,NET,II,
21208,V2,NET,II,
21209,V1,NET,III,
21210,V2,NET,III,
21211,V1,NET,IV,
21212,V2,NET,IV,
21213,V1,NET,V,
21214,V2,NET,V,
21215,V1,NET,VI,
21216,V2,NET,VI,
21217,V1,NET,I,
21218,V2,NET,I,
21219,V1,NET,II,
21220,V2,NET,II,
21221,V1,NET,III,
21222,V2,NET,III,
21223,V1,NET,IV,
21224,V2,NET,IV,
21225,V1,NET,V,
21226,V2,NET,V,
21227,V1,NET,VI,
21228,V2,NET,VI,
21229,V1,NET,I,
21230,V2,NET,I,
21231,V1,NET,II,
21232,V2,NET,II,
21233,V1,NET,III,
21234,V2,NET,III,
21235,V1,NET,IV,
21236,V2,NET,IV,
21237,V1,NET,V,
21238,V2,NET,V,
21239,V1,NET,VI,
21240,V2,NET,VI,
21241,V1,NET,I,
21242,V2,NET,I,
21243,V1,NET,II,
21244,V2,NET,II,
21245,V1,NET,III,
21246,V2,NET,III,
21247,V1,NET,IV,
21248,V2,NET,IV,
21249,V1,NET,V,
21250,V2,NET,V,
21251,V1,NET,VI,
21252,V2,NET,VI,
21253,V1,NET,I,
21254,V2,NET,I,
21255,V1,NET,II,
21256,V2,NET,II,
21257,V1,NET,III,
21258,V2,NET,III,
21259,V1,NET,IV,
21260,V2,NET,IV,
21261,V1,NET,V,
21262,V2,NET,V,
21263,V1,NET,VI,
21264,V2,NET,VI,
21265,V1,NET,I,
21266,V2,NET,I,
21267,V1,NET,II,
21268,V2,NET,II,
21269,V1,NET,III,
21270,V2,NET,III,
21271,V1,NET,IV,
21272,V2,NET,IV,
21273,V1,NET,V,
21274,V2,NET,V,
21275,V1,NET,VI,
21276,V2,NET,VI,
21277,V1,NET,I,
21278,V2,NET,I,
21279,V1,NET,II,
21280,V2,NET,II,
21281,V1,NET,III,
21282,V2,NET,III,
21283,V1,NET,IV,
21284,V2,NET,IV,
21285,V1,NET,V,
21286,V2,NET,V,
21287,V1,NET,VI,
21288,V2,NET,VI,
21289,V1,NET,I,
21290,V2,NET,I,
21291,V1,NET,II,
21292,V2,NET,II,
21293,V1,NET,III,
21294,V2,NET,III,
21295,V1,NET,IV,
21296,V2,NET,IV,
21297,V1,NET,V,
21298,V2,NET,V,
21299,V1,NET,VI,
21300,V2,NET,VI,
21301,V1,NET,I,
21302,V2,NET,I,
21303,V1,NET,II,
21304,V2,NET,II,
21305,V1,NET,III,
21306,V2,NET,III,
21307,V1,NET,IV,
21308,V2,NET,IV,
21309,V1,NET,V,
21310,V2,NET,V,
21311,V1,NET,VI,
21312,V2,NET,VI,
21313,V1,NET,I,
21314,V2,NET,I,
21315,V1,NET,II,
21316,V2,NET,II,
21317,V1,NET,III,
21318,V2,NET,III,
21319,V1,NET,IV,
21320,V2,NET,IV,
21321,V1,NET,V,
21322,V2,NET,V,
21323,V1,NET,VI,
21324,V2,NET,VI,
21325,V1,NET,I,
21326,V2,NET,I,
21327,V1,NET,II,
21328,V2,NET,II,
21329,V1,NET,III,
21330,V2,NET,III,
21331,V1,NET,IV,
21332,V2,NET,IV,
21333,V1,NET,V,
21334,V2,NET,V,
21335,V1,NET,VI,
21336,V2,NET,VI,
21337,V1,NET,I,
21338,V2,NET,I,
21339,V1,NET,II,
21340,V2,NET,II,
21341,V1,NET,III,
21342,V2,NET,III,
21343,V1,NET,IV,
21344,V2,NET,IV,
21345,V1,NET,V,
21346,V2,NET,V,
21347,V1,NET,VI,
21348,V2,NET,VI,
21349,V1,NET,I,
21350,V2,NET,I,
21351,V1,NET,II,
21352,V2,NET,II,
21353,V1,NET,III,
21354,V2,NET,III,
21355,V1,NET,IV,
21356,V2,NET,IV,
21357,V1,NET,V,
21358,V2,NET,V,
21359,V1,NET,VI,
21360,V2,NET,VI,
21361,V1,NET,I,
21362,V2,NET,I,
21363,V1,NET,II,
21364,V2,NET,II,
21365,V1,NET,III,
21366,V2,NET,III,
21367,V1,NET,IV,
21368,V2,NET,IV,
21369,V1,NET,V,
21370,V2,NET,V,
21371,V1,NET,VI,
21372,V2,NET,VI,
21373,V1,NET,I,
21374,V2,NET,I,
21375,V1,NET,II,
21376,V2,NET,II,
21377,V1,NET,III,
21378,V2,NET,III,
21379,V1,NET,IV,
21380,V2,NET,IV,
21381,V1,NET,V,
21382,V2,NET,V,
21383,V1,NET,VI,
21384,V2,NET,VI,
21385,V1,NET,I,
21386,V2,NET,I,
21387,V1,NET,II,
21388,V2,NET,II,
21389,V1,NET,III,
21390,V2,NET,III,
21391,V1,NET,IV,
21392,V2,NET,IV,
21393,V1,NET,V,
21394,V2,NET,V,
21395,V1,NET,VI,
21396,V2,NET,VI,
21397,V1,NET,I,
21398,V2,NET,I,
21399,V1,NET,II,
21400,V2,NET,II,
21401,V1,NET,III,
21402,V2,NET,III,
21403,V1,NET,IV,
21404,V2,NET,IV,
21405,V1,NET,V,
21406,V2,NET,V,
21407,V1,NET,VI,
21408,V2,NET,VI,
21409,V1,NET,I,
21410,V2,NET,I,
21411,V1,NET,II,
21412,V2,NET,II,
21413,V1,NET,III,
21414,V2,NET,III,
21415,V1,NET,IV,
21416,V2,NET,IV,
21417,V1,NET,V,
21418,V2,NET,V,
21419,V1,NET,VI,
21420,V2,NET,VI,
21421,V1,NET,I,
21422,V2,NET,I,
21423,V1,NET,II,
21424,V2,NET,II,
21425,V1,NET,III,
21426,V2,NET,III,
21427,V1,NET,IV,
21428,V2,NET,IV,
21429,V1,NET,V,
21430,V2,NET,V,
21431,V1,NET,VI,
21432,V2,NET,VI,
21433,V1,NET,I,
21434,V2,NET,I,
21435,V1,NET,II,
21436,V2,NET,II,
21437,V1,NET,III,
21438,V2,NET,III,
21439,V1,NET,IV,
21440,V2,NET,IV,
21441,V1,NET,V,
21442,V2,NET,V,
21443,V1,NET,VI,
21444,V2,NET,VI,
21445,V1,NET,I,
21446,V2,NET,I,
21447,V1,NET,II,
21448,V2,NET,II,
21449,V1,NET,III,
21450,V2,NET,III,
21451,V1,NET,IV,
21452,V2,NET,IV,
21453,V1,NET,V,
21454,V2,NET,V,
21455,V1,NET,VI,
21456,V2,NET,VI,
21457,V1,NET,I,
21458,V2,NET,I,
21459,V1,NET,II,
21460,V2,NET,II,
21461,V1,NET,III,
21462,V2,NET,III,
21463,V1,NET,IV,
21464,V2,NET,IV,
21465,V1,NET,V,
21466,V2,NET,V,
21467,V1,NET,VI,
21468,V2,NET,VI,
21469,V1,NET,I,
21470,V2,NET,I,
21471,V1,NET,II,
21472,V2,NET,II,
21473,V1,NET,III,
21474,V2,NET,III,
21475,V1,NET,IV,
21476,V2,NET,IV,
21477,V1,NET,V,
21478,V2,NET,V,
21479,V1,NET,VI,
21480,V2,NET,VI,
21481,V1,NET,I,
21482,V2,NET,I,
21483,V1,NET,II,
21484,V2,NET,II,
21485,V1,NET,III,
21486,V2,NET,III,
21487,V1,NET,IV,
21488,V2,NET,IV,
21489,V1,NET,V,
21490,V2,NET,V,
21491,V1,NET,VI,
21492,V2,NET,VI,
21493,V1,NET,I,
21494,V2,NET,I,
21495,V1,NET,II,
21496,V2,NET,II,
21497,V1,NET,III,
21498,V2,NET,III,
21499,V1,NET,IV,
21500,V2,NET,IV,
21501,V1,NET,V,
21502,V2,NET,V,
21503,V1,NET,VI,
21504,V2,NET,VI,
21505,V1,NET,I,
21506,V2,NET,I,
21507,V1,NET,II,
21508,V2,NET,II,
21509,V1,NET,III,
21510,V2,NET,III,
21511,V1,NET,IV,
21512,V2,NET,IV,
21513,V1,NET,V,
21514,V2,NET,V,
21515,V1,NET,VI,
21516,V2,NET,VI,
21517,V1,NET,I,
21518,V2,NET,I,
21519,V1,NET,II,
21520,V2,NET,II,
21521,V1,NET,III,
21522,V2,NET,III,
21523,V1,NET,IV,
21524,V2,NET,IV,
21525,V1,NET,V,
21526,V2,NET,V,
21527,V1,NET,VI,
21528,V2,NET,VI,
21529,V1,NET,I,
21530,V2,NET,I,
21531,V1,NET,II,
21532,V2,NET,II,
21533,V1,NET,III,
21534,V2,NET,III,
21535,V1,NET,IV,
21536,V2,NET,IV,
21537,V1,NET,V,
21538,V2,NET,V,
21539,V1,NET,VI,
21540,V2,NET,VI,
21541,V1,NET,I,
21542,V2,NET,I,
21543,V1,NET,II,
21544,V2,NET,II,
21545,V1,NET,III,
21546,V2,NET,III,
21547,V1,NET,IV,
21548,V2,NET,IV,
21549,V1,NET,V,
21550,V2,NET,V,
21551,V1,NET,VI,
21552,V2,NET,VI,
21553,V1,NET,I,
21554,V2,NET,I,
21555,V1,NET,II,
21556,V2,NET,II,
21557,V1,NET,III,
21558,V2,NET,III,
21559,V1,NET,IV,
21560,V2,NET,IV,
21561,V1,NET,V,
21562,V2,NET,V,
21563,V1,NET,VI,
21564,V2,NET,VI,
21565,V1,NET,I,
21566,V2,NET,I,
21567,V1,NET,II,
21568,V2,NET,II,
21569,V1,NET,III,
21570,V2,NET,III,
21571,V1,NET,IV,
21572,V2,NET,IV,
21573,V1,NET,V,
21574,V2,NET,V,
21575,V1,NET,VI,
21576,V2,NET,VI,
21577,V1,NET,I,
21578,V2,NET,I,
21579,V1,NET,II,
21580,V2,NET,II,
21581,V1,NET,III,
21582,V2,NET,III,
21583,V1,NET,IV,
21584,V2,NET,IV,
21585,V1,NET,V,
21586,V2,NET,V,
21587,V1,NET,VI,
21588,V2,NET,VI,
21589,V1,NET,I,
21590,V2,NET,I,
21591,V1,NET,II,
21592,V2,NET,II,
21593,V1,NET,III,
21594,V2,NET,III,
21595,V1,NET,IV,
21596,V2,NET,IV,
21597,V1,NET,V,
21598,V2,NET,V,
21599,V1,NET,VI,
21600,V2,NET,VI,
21601,V1,NET,I,
21602,V2,NET,I,
21603,V1,NET,II,
21604,V2,NET,II,
21605,V1,NET,III,
21606,V2,NET,III,
21607,V1,NET,IV,
21608,V2,NET,IV,
21609,V1,NET,V,
21610,V2,NET,V,
21611,V1,NET,VI,
21612,V2,NET,VI,
21613,V1,NET,I,
21614,V2,NET,I,
21615,V1,NET,II,
21616,V2,NET,II,
21617,V1,NET,III,
21618,V2,NET,III,
21619,V1,NET,IV,
21620,V2,NET,IV,
21621,V1,NET,V,
21622,V2,NET,V,
21623,V1,NET,VI,
21624,V2,NET,VI,
21625,V1,NET,I,
21626,V2,NET,I,
21627,V1,NET,II,
21628,V2,NET,II,
21629,V1,NET,III,
21630,V2,NET,III,
21631,V1,NET,IV,
21632,V2,NET,IV,
21633,V1,NET,V,
21634,V2,NET,V,
21635,V1,NET,VI,
21636,V2,NET,VI,
21637,V1,NET,I,
21638,V2,NET,I,
21639,V1,NET,II,
21640,V2,NET,II,
21641,V1,NET,III,
21642,V2,NET,III,
21643,V1,NET,IV,
21644,V2,NET,IV,
21645,V1,NET,V,
21646,V2,NET,V,
21647,V1,NET,VI,
21648,V2,NET,VI,
21649,V1,NET,I,
21650,V2,NET,I,
21651,V1,NET,II,
21652,V2,NET,II,
21653,V1,NET,III,
21654,V2,NET,III,
21655,V1,NET,IV,
21656,V2,NET,IV,
21657,V1,NET,V,
21658,V2,NET,V,
21659,V1,NET,VI,
21660,V2,NET,VI,
21661,V1,NET,I,
21662,V2,NET,I,
21663,V1,NET,II,
21664,V2,NET,II,
21665,V1,NET,III,
21666,V2,NET,III,
21667,V1,NET,IV,
21668,V2,NET,IV,
21669,V1,NET,V,
21670,V2,NET,V,
21671,V1,NET,VI,
21672,V2,NET,VI,
21673,V1,NET,I,
21674,V2,NET,I,
21675,V1,NET,II,
21676,V2,NET,II,
21677,V1,NET,III,
21678,V2,NET,III,
21679,V1,NET,IV,
21680,V2,NET,IV,
21681,V1,NET,V,
21682,V2,NET,V,
21683,V1,NET,VI,
21684,V2,NET,VI,
21685,V1,NET,I,
21686,V2,NET,I,
21687,V1,NET,II,
21688,V2,NET,II,
21689,V1,NET,III,
21690,V2,NET,III,
21691,V1,NET,IV,
21692,V2,NET,IV,
21693,V1,NET,V,
21694,V2,NET,V,
21695,V1,NET,VI,
21696,V2,NET,VI,
21697,V1,NET,I,
21698,V2,NET,I,
21699,V1,NET,II,
21700,V2,NET,II,
21701,V1,NET,III,
21702,V2,NET,III,
21703,V1,NET,IV,
21704,V2,NET,IV,
21705,V1,NET,V,
21706,V2,NET,V,
21707,V1,NET,VI,
21708,V2,NET,VI,
21709,V1,NET,I,
21710,V2,NET,I,
21711,V1,NET,II,
21712,V2,NET,II,
21713,V1,NET,III,
21714,V2,NET,III,
21715,V1,NET,IV,
21716,V2,NET,IV,
21717,V1,NET,V,
21718,V2,NET,V,
21719,V1,NET,VI,
21720,V2,NET,VI,
21721,V1,NET,I,
21722,V2,NET,I,
21723,V1,NET,II,
21724,V2,NET,II,
21725,V1,NET,III,
21726,V2,NET,III,
21727,V1,NET,IV,
21728,V2,NET,IV,
21729,V1,NET,V,
21730,V2,NET,V,
21731,V1,NET,VI,
21732,V2,NET,VI,
21733,V1,NET,I,
21734,V2,NET,I,
21735,V1,NET,II,
21736,V2,NET,II,
21737,V1,NET,III,
21738,V2,NET,III,
21739,V1,NET,IV,
21740,V2,NET,IV,
21741,V1,NET,V,
21742,V2,NET,V,
21743,V1,NET,VI,
21744,V2,NET,VI,
21745,V1,NET,I,
21746,V2,NET,I,
21747,V1,NET,II,
21748,V2,NET,II,
21749,V1,NET,III,
21750,V2,NET,III,
21751,V1,NET,IV,
21752,V2,NET,IV,
21753,V1,NET,V,
21754,V2,NET,V,
21755,V1,NET,VI,
21756,V2,NET,VI,
21757,V1,NET,I,
21758,V2,NET,I,
21759,V1,NET,II,
21760,V2,NET,II,
21761,V1,NET,III,
21762,V2,NET,III,
21763,V1,NET,IV,
21764,V2,NET,IV,
21765,V1,NET,V,
21766,V2,NET,V,
21767,V1,NET,VI,
21768,V2,NET,VI,
21769,V1,NET,I,
21770,V2,NET,I,
21771,V1,NET,II,
21772,V2,NET,II,
21773,V1,NET,III,
21774,V2,NET,III,
21775,V1,NET,IV,
21776,V2,NET,IV,
21777,V1,NET,V,
21778,V2,NET,V,
21779,V1,NET,VI,
21780,V2,NET,VI,
21781,V1,NET,I,
21782,V2,NET,I,
21783,V1,NET,II,
21784,V2,NET,II,
21785,V1,NET,III,
21786,V2,NET,III,
21787,V1,NET,IV,
21788,V2,NET,IV,
21789,V1,NET,V,
21790,V2,NET,V,
21791,V1,NET,VI,
21792,V2,NET,VI,
21793,V1,NET,I,
21794,V2,NET,I,
21795,V1,NET,II,
21796,V2,NET,II,
21797,V1,NET,III,
21798,V2,NET,III,
21799,V1,NET,IV,
21800,V2,NET,IV,
21801,V1,NET,V,
21802,V2,NET,V,
21803,V1,NET,VI,
21804,V2,NET,VI,
21805,V1,NET,I,
21806,V2,NET,I,
21807,V1,NET,II,
21808,V2,NET,II,
21809,V1,NET,III,
21810,V2,NET,III,
21811,V1,NET,IV,
21812,V2,NET,IV,
21813,V1,NET,V,
21814,V2,NET,V,
21815,V1,NET,VI,
21816,V2,NET,VI,
21817,V1,NET,I,
21818,V2,NET,I,
21819,V1,NET,II,
21820,V2,NET,II,
21821,V1,NET,III,
21822,V2,NET,III,
21823,V1,NET,IV,
21824,V2,NET,IV,
21825,V1,NET,V,
21826,V2,NET,V,
21827,V1,NET,VI,
21828,V2,NET,VI,
21829,V1,NET,I,
21830,V2,NET,I,
21831,V1,NET,II,
21832,V2,NET,II,
21833,V1,NET,III,
21834,V2,NET,III,
21835,V1,NET,IV,
21836,V2,NET,IV,
21837,V1,NET,V,
21838,V2,NET,V,
21839,V1,NET,VI,
21840,V2,NET,VI,
21841,V1,NET,I,
21842,V2,NET,I,
21843,V1,NET,II,
21844,V2,NET,II,
21845,V1,NET,III,
21846,V2,NET,III,
21847,V1,NET,IV,
21848,V2,NET,IV,
21849,V1,NET,V,
21850,V2,NET,V,
21851,V1,NET,VI,
21852,V2,NET,VI,
21853,V1,NET,I,
21854,V2,NET,I,
21855,V1,NET,II,
21856,V2,NET,II,
21857,V1,NET,III,
21858,V2,NET,III,
21859,V1,NET,IV,
21860,V2,NET,IV,
21861,V1,NET,V,
21862,V2,NET,V,
21863,V1,NET,VI,
21864,V2,NET,VI,
21865,V1,NET,I,
21866,V2,NET,I,
21867,V1,NET,II,
21868,V2,NET,II,
21869,V1,NET,III,
21870,V2,NET,III,
21871,V1,NET,IV,
21872,V2,NET,IV,
21873,V1,NET,V,
21874,V2,NET,V,
21875,V1,NET,VI,
21876,V2,NET,VI,
21877,V1,NET,I,
21878,V2,NET,I,
21879,V1,NET,II,
21880,V2,NET,II,
21881,V1,NET,III,
21882,V2,NET,III,
21883,V1,NET,IV,
21884,V2,NET,IV,
21885,V1,NET,V,
21886,V2,NET,V,
21887,V1,NET,VI,
21888,V2,NET,VI,
21889,V1,NET,I,
21890,V2,NET,I,
21891,V1,NET,II,
21892,V2,NET,II,
21893,V1,NET,III,
21894,V2,NET,III,
21895,V1,NET,IV,
21896,V2,NET,IV,
21897,V1,NET,V,
21898,V2,NET,V,
21899,V1,NET,VI,
21900,V2,NET,VI,
21901,V1,NET,I,
21902,V2,NET,I,
21903,V1,NET,II,
21904,V2,NET,II,
21905,V1,NET,III,
21906,V2,NET,III,
21907,V1,NET,IV,
21908,V2,NET,IV,
21909,V1,NET,V,
21910,V2,NET,V,
21911,V1,NET,VI,
21912,V2,NET,VI,
21913,V1,NET,I,
21914,V2,NET,I,
21915,V1,NET,II,
21916,V2,NET,II,
21917,V1,NET,III,
21918,V2,NET,III,
21919,V1,NET,IV,
21920,V2,NET,IV,
21921,V1,NET,V,
21922,V2,NET,V,
21923,V1,NET,VI,
21924,V2,NET,VI,
21925,V1,NET,I,
21926,V2,NET,I,
21927,V1,NET,II,
21928,V2,NET,II,
21929,V1,NET,III,
21930,V2,NET,III,
21931,V1,NET,IV,
21932,V2,NET,IV,
21933,V1,NET,V,
21934,V2,NET,V,
21935,V1,NET,VI,
21936,V2,NET,VI,
21937,V1,NET,I,
21938,V2,NET,I,
21939,V1,NET,II,
21940,V2,NET,II,
21941,V1,NET,III,
21942,V2,NET,III,
21943,V1,NET,IV,
21944,V2,NET,IV,
21945,V1,NET,V,
21946,V2,NET,V,
21947,V1,NET,VI,
21948,V2,NET,VI,
21949,V1,NET,I,
21950,V2,NET,I,
21951,V1,NET,II,
21952,V2,NET,II,
21953,V1,NET,III,
21954,V2,NET,III,
21955,V1,NET,IV,
21956,V2,NET,IV,
21957,V1,NET,V,
21958,V2,NET,V,
21959,V1,NET,VI,
21960,V2,NET,VI,
21961,V1,NET,I,
21962,V2,NET,I,
21963,V1,NET,II,
21964,V2,NET,II,
21965,V1,NET,III,
21966,V2,NET,III,
21967,V1,NET,IV,
21968,V2,NET,IV,
21969,V1,NET,V,
21970,V2,NET,V,
21971,V1,NET,VI,
21972,V2,NET,VI,
21973,V1,NET,I,
21974,V2,NET,I,
21975,V1,NET,II,
21976,V2,NET,II,
21977,V1,NET,III,
21978,V2,NET,III,
21979,V1,NET,IV,
21980,V2,NET,IV,
21981,V1,NET,V,
21982,V2,NET,V,
21983,V1,NET,VI,
21984,V2,NET,VI,
21985,V1,NET,I,
21986,V2,NET,I,
21987,V1,NET,II,
21988,V2,NET,II,
21989,V1,NET,III,
21990,V2,NET,III,
21991,V1,NET,IV,
21992,V2,NET,IV,
21993,V1,NET,V,
21994,V2,NET,V,
21995,V1,NET,VI,
21996,V2,NET,VI,
21997,V1,NET,I,
21998,V2,NET,I,
21999,V1,NET,II,
22000,V2,NET,II,
22001,V1,NET,III,
22002,V2,NET,III,
22003,V1,NET,IV,
22004,V2,NET,IV,
22005,V1,NET,V,
22006,V2,NET,V,
22007,V1,NET,VI,
22008,V2,NET,VI,
22009,V1,NET,I,
22010,V2,NET,I,
22011,V1,NET,II,
22012,V2,NET,II,
22013,V1,NET,III,
22014,V2,NET,III,
22015,V1,NET,IV,
22016,V2,NET,IV,
22017,V1,NET,V,
22018,V2,NET,V,
22019,V1,NET,VI,
22020,V2,NET,VI,
22021,V1,NET,I,
22022,V2,NET,I,
22023,V1,NET,II,
22024,V2,NET,II,
22025,V1,NET,III,
22026,V2,NET,III,
22027,V1,NET,IV,
22028,V2,NET,IV,
22029,V1,NET,V,
22030,V2,NET,V,
22031,V1,NET,VI,
22032,V2,NET,VI,
22033,V1,NET,I,
22034,V2,NET,I,
22035,V1,NET,II,
22036,V2,NET,II,
22037,V1,NET,III,
22038,V2,NET,III,
22039,V1,NET,IV,
22040,V2,NET,IV,
22041,V1,NET,V,
22042,V2,NET,V,
22043,V1,NET,VI,
22044,V2,NET,VI,
22045,V1,NET,I,
22046,V2,NET,I,
22047,V1,NET,II,
22048,V2,NET,II,
22049,V1,NET,III,
22050,V2,NET,III,
22051,V1,NET,IV,
22052,V2,NET,IV,
22053,V1,NET,V,
22054,V2,NET,V,
22055,V1,NET,VI,
22056,V2,NET,VI,
22057,V1,NET,I,
22058,V2,NET,I,
22059,V1,NET,II,
22060,V2,NET,II,
22061,V1,NET,III,
22062,V2,NET,III,
22063,V1,NET,IV,
22064,V2,NET,IV,
22065,V1,NET,V,
22066,V2,NET,V,
22067,V1,NET,VI,
22068,V2,NET,VI,
22069,V1,NET,I,
22070,V2,NET,I,
22071,V1,NET,II,
22072,V2,NET,II,
22073,V1,NET,III,
22074,V2,NET,III,
22075,V1,NET,IV,
22076,V2,NET,IV,
22077,V1,NET,V,
22078,V2,NET,V,
22079,V1,NET,VI,
22080,V2,NET,VI,
22081,V1,NET,I,
22082,V2,NET,I,
22083,V1,NET,II,
22084,V2,NET,II,
22085,V1,NET,III,
22086,V2,NET,III,
22087,V1,NET,IV,
22088,V2,NET,IV,
22089,V1,NET,V,
22090,V2,NET,V,
22091,V1,NET,VI,
22092,V2,NET,VI,
22093,V1,NET,I,
22094,V2,NET,I,
22095,V1,NET,II,
22096,V2,NET,II,
22097,V1,NET,III,
22098,V2,NET,III,
22099,V1,NET,IV,
22100,V2,NET,IV,
22101,V1,NET,V,
22102,V2,NET,V,
22103,V1,NET,VI,
22104,V2,NET,VI,
22105,V1,NET,I,
22106,V2,NET,I,
22107,V1,NET,II,
22108,V2,NET,II,
22109,V1,NET,III,
22110,V2,NET,III,
22111,V1,NET,IV,
22112,V2,NET,IV,
22113,V1,NET,V,
22114,V2,NET,V,
22115,V1,NET,VI,
22116,V2,NET,VI,
22117,V1,NET,I,
22118,V2,NET,I,
22119,V1,NET,II,
22120,V2,NET,II,
22121,V1,NET,III,
22122,V2,NET,III,
22123,V1,NET,IV,
22124,V2,NET,IV,
22125,V1,NET,V,
22126,V2,NET,V,
22127,V1,NET,VI,
22128,V2,NET,VI,
22129,V1,NET,I,
22130,V2,NET,I,
22131,V1,NET,II,
22132,V2,NET,II,
22133,V1,NET,III,
22134,V2,NET,III,
22135,V1,NET,IV,
22136,V2,NET,IV,
22137,V1,NET,V,
22138,V2,NET,V,
22139,V1,NET,VI,
22140,V2,NET,VI,
22141,V1,NET,I,
22142,V2,NET,I,
22143,V1,NET,II,
22144,V2,NET,II,
22145,V1,NET,III,
22146,V2,NET,III,
22147,V1,NET,IV,
22148,V2,NET,IV,
22149,V1,NET,V,
22150,V2,NET,V,
22151,V1,NET,VI,
22152,V2,NET,VI,
22153,V1,NET,I,
22154,V2,NET,I,
22155,V1,NET,II,
22156,V2,NET,II,
22157,V1,NET,III,
22158,V2,NET,III,
22159,V1,NET,IV,
22160,V2,NET,IV,
22161,V1,NET,V,
22162,V2,NET,V,
22163,V1,NET,VI,
22164,V2,NET,VI,
22165,V1,NET,I,
22166,V2,NET,I,
22167,V1,NET,II,
22168,V2,NET,II,
22169,V1,NET,III,
22170,V2,NET,III,
22171,V1,NET,IV,
22172,V2,NET,IV,
22173,V1,NET,V,
22174,V2,NET,V,
22175,V1,NET,VI,
22176,V2,NET,VI,
22177,V1,NET,I,
22178,V2,NET,I,
22179,V1,NET,II,
22180,V2,NET,II,
22181,V1,NET,III,
22182,V2,NET,III,
22183,V1,NET,IV,
22184,V2,NET,IV,
22185,V1,NET,V,
22186,V2,NET,V,
22187,V1,NET,VI,
22188,V2,NET,VI,
22189,V1,NET,I,
22190,V2,NET,I,
22191,V1,NET,II,
22192,V2,NET,II,
22193,V1,NET,III,
22194,V2,NET,III,
22195,V1,NET,IV,
22196,V2,NET,IV,
22197,V1,NET,V,
22198,V2,NET,V,
22199,V1,NET,VI,
22200,V2,NET,VI,
22201,V1,NET,I,
22202,V2,NET,I,
22203,V1,NET,II,
22204,V2,NET,II,
22205,V1,NET,III,
22206,V2,NET,III,
22207,V1,NET,IV,
22208,V2,NET,IV,
22209,V1,NET,V,
22210,V2,NET,V,
22211,V1,NET,VI,
22212,V2,NET,VI,
22213,V1,NET,I,
22214,V2,NET,I,
22215,V1,NET,II,
22216,V2,NET,II,
22217,V1,NET,III,
22218,V2,NET,III,
22219,V1,NET,IV,
22220,V2,NET,IV,
22221,V1,NET,V,
22222,V2,NET,V,
22223,V1,NET,VI,
22224,V2,NET,VI,
22225,V1,NET,I,
22226,V2,NET,I,
22227,V1,NET,II,
22228,V2,NET,II,
22229,V1,NET,III,
22230,V2,NET,III,
22231,V1,NET,IV,
22232,V2,NET,IV,
22233,V1,NET,V,
22234,V2,NET,V,
22235,V1,NET,VI,
22236,V2,NET,VI,
22237,V1,NET,I,
22238,V2,NET,I,
22239,V1,NET,II,
22240,V2,NET,II,
22241,V1,NET,III,
22242,V2,NET,III,
22243,V1,NET,IV,
22244,V2,NET,IV,
22245,V1,NET,V,
22246,V2,NET,V,
22247,V1,NET,VI,
22248,V2,NET,VI,
22249,V1,NET,I,
22250,V2,NET,I,
22251,V1,NET,II,
22252,V2,NET,II,
22253,V1,NET,III,
22254,V2,NET,III,
22255,V1,NET,IV,
22256,V2,NET,IV,
22257,V1,NET,V,
22258,V2,NET,V,
22259,V1,NET,VI,
22260,V2,NET,VI,
22261,V1,NET,I,
22262,V2,NET,I,
22263,V1,NET,II,
22264,V2,NET,II,
22265,V1,NET,III,
22266,V2,NET,III,
22267,V1,NET,IV,
22268,V2,NET,IV,
22269,V1,NET,V,
22270,V2,NET,V,
22271,V1,NET,VI,
22272,V2,NET,VI,
22273,V1,NET,I,
22274,V2,NET,I,
22275,V1,NET,II,
22276,V2,NET,II,
22277,V1,NET,III,
22278,V2,NET,III,
22279,V1,NET,IV,
22280,V2,NET,IV,
22281,V1,NET,V,
22282,V2,NET,V,
22283,V1,NET,VI,
22284,V2,NET,VI,
22285,V1,NET,I,
22286,V2,NET,I,
22287,V1,NET,II,
22288,V2,NET,II,
22289,V1,NET,III,
22290,V2,NET,III,
22291,V1,NET,IV,
22292,V2,NET,IV,
22293,V1,NET,V,
22294,V2,NET,V,
22295,V1,NET,VI,
22296,V2,NET,VI,
22297,V1,NET,I,
22298,V2,NET,I,
22299,V1,NET,II,
22300,V2,NET,II,
22301,V1,NET,III,
